,column,ontologies
413,"Social Communication Questionnaire: 21. Does she/he ever spontaneously copy you (or other people) or what you are doing (such as vacuuming, gardening, or mending things)?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/LA15974-1', 'http://purl.bioontology.org/ontology/LNC/LA15978-2']"
414,"Social Communication Questionnaire: 22. Does she/he ever spontaneously point at things around her/him just to show you things (not because she/he
wants them)?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/GSSO_003240']"
415,"Social Communication Questionnaire: 23. Does she/he ever use gestures, other than pointing or pulling your hand, to let you know what she/he wants?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/419385000', 'http://purl.obolibrary.org/obo/NCIT_C95018', 'http://purl.org/sig/ont/fma/fma9712', 'http://purl.bioontology.org/ontology/SNOMEDCT/85562004', 'http://purl.bioontology.org/ontology/LNC/MTHU002685', 'http://purl.bioontology.org/ontology/LNC/LP7279-5', 'http://purl.bioontology.org/ontology/LNC/LP221491-6', 'http://purl.bioontology.org/ontology/LNC/LA16719-9', 'http://purl.bioontology.org/ontology/LNC/LP221488-2']"
416,Social Communication Questionnaire: 24. Does she/he nod her/his head to indicate yes?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/OMIM/125370', 'http://purl.bioontology.org/ontology/SNOMEDCT/69536005', 'http://purl.bioontology.org/ontology/LNC/LP199977-2', 'http://purl.bioontology.org/ontology/LNC/LP7281-1', 'http://purl.bioontology.org/ontology/LNC/LA18116-6', 'http://purl.bioontology.org/ontology/OMIM/MTHU000086', 'http://purl.bioontology.org/ontology/LNC/MTHU001435', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
417,Social Communication Questionnaire: 25. Does she/he shake her/his head to indicate no?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/69536005', 'http://purl.bioontology.org/ontology/LNC/LP199977-2', 'http://purl.bioontology.org/ontology/LNC/LP7281-1', 'http://purl.bioontology.org/ontology/LNC/LA18116-6', 'http://purl.bioontology.org/ontology/OMIM/MTHU000086', 'http://purl.bioontology.org/ontology/LNC/MTHU001435']"
418,Social Communication Questionnaire: 26. Does she/he usually look at you directly in the face when doing things with you or talking with you?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/LA14747-2', 'http://purl.bioontology.org/ontology/LNC/MTHU003030', 'http://purl.org/sig/ont/fma/fma24728', 'http://purl.bioontology.org/ontology/LNC/LP207512-7', 'http://purl.bioontology.org/ontology/OMIM/MTHU000089', 'http://purl.bioontology.org/ontology/LNC/LA20646-8', 'http://purl.bioontology.org/ontology/OMIM/600901', 'http://purl.bioontology.org/ontology/LNC/LP7223-3', 'http://purl.bioontology.org/ontology/OMIM/611546', 'http://purl.bioontology.org/ontology/SNOMEDCT/89545001', 'http://purl.bioontology.org/ontology/LNC/LP199970-7', 'http://purl.bioontology.org/ontology/SNOMEDCT/87335007']"
419,Social Communication Questionnaire: 27. Does she/he smile back if someone smiles at her/him?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://www.orpha.net/ORDO/Orphanet_500722', 'http://purl.bioontology.org/ontology/OMIM/617218', 'http://purl.bioontology.org/ontology/SNOMEDCT/225583004']"
420,Social Communication Questionnaire: 28. Does she/he ever show you things that interest her/him to engage your attention?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://semanticscience.org/resource/SIO_000848', 'http://purl.bioontology.org/ontology/SNOMEDCT/6769007', 'http://purl.bioontology.org/ontology/LNC/LA22668-0']"
421,Social Communication Questionnaire: 29. Does she/he ever offer to share things other than food with you?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/MTHU065486', 'http://purl.bioontology.org/ontology/STY/T168', 'http://purl.bioontology.org/ontology/STY/T168', 'http://purl.bioontology.org/ontology/STY/T168', 'http://purl.bioontology.org/ontology/STY/T168', 'http://purl.bioontology.org/ontology/LNC/LA30125-1', 'http://purl.bioontology.org/ontology/LNC/LP7244-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/255620007']"
422,Social Communication Questionnaire: 30. Does she/he ever seem to want you to join in her/his enjoyment of something?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://semanticscience.org/resource/SIO_000850']"
423,Social Communication Questionnaire: 31. Does she/he ever try to comfort you if you are sad or hurt?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/OMIM/608516', 'http://purl.obolibrary.org/obo/HP_5200273', 'http://purl.bioontology.org/ontology/LNC/LA16652-2', 'http://semanticscience.org/resource/SIO_000845']"
424,"Social Communication Questionnaire: 32. If she/he wants something or wants help, does she/he look at you and use gestures with sounds or words to get your attention?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/419385000', 'http://purl.obolibrary.org/obo/NCIT_C95018', 'http://purl.bioontology.org/ontology/SNOMEDCT/6769007', 'http://purl.bioontology.org/ontology/LNC/LA22668-0']"
425,Social Communication Questionnaire: 33. Does she/he show a normal range of facial expressions?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/260395002', 'http://purl.bioontology.org/ontology/SNOMEDCT/17621005', 'http://purl.bioontology.org/ontology/OMIM/MTHU002946', 'http://purl.bioontology.org/ontology/LNC/LA6626-1', 'http://purl.bioontology.org/ontology/LNC/LP32108-0', 'http://purl.bioontology.org/ontology/SNOMEDCT/609432006', 'http://purl.bioontology.org/ontology/LNC/LA9269-7', 'http://purl.org/sig/ont/fma/fma24728']"
426,"Social Communication Questionnaire: 34. Does she/he ever spontaneously join in and try to copy the actions in social games, such as The Mulberry Bush or London Bridge Is Falling Down?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/SNOMEDCT/227434002', 'http://purl.bioontology.org/ontology/SNOMEDCT/112591004', 'http://purl.bioontology.org/ontology/SNOMEDCT/277035007']"
427,Social Communication Questionnaire: 35. Does she/he play any pretend or make-believe games?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009']"
428,Social Communication Questionnaire: 36. Does she/he seem interested in other children of approximately the same age whom she/he does not know?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/LA16651-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/225469004', 'http://semanticscience.org/resource/SIO_000848', 'http://purl.bioontology.org/ontology/SNOMEDCT/26175008', 'http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://purl.bioontology.org/ontology/SNOMEDCT/717896003']"
429,Social Communication Questionnaire: 37. Does she/he respond positively when another child approaches her/him?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/103379005']"
430,"Social Communication Questionnaire: 38. If you come into a room and start talking to her/him without calling her/his name, does she/he usually look up
and pay attention to you?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.obolibrary.org/obo/ENVO_01000426', 'http://purl.bioontology.org/ontology/LNC/LP101926-6', 'http://purl.bioontology.org/ontology/LNC/MTHU036812', 'http://purl.bioontology.org/ontology/LNC/LP190656-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/87335007', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/LA14747-2', 'http://purl.bioontology.org/ontology/SNOMEDCT/6769007', 'http://purl.bioontology.org/ontology/LNC/LA22668-0']"
431,Social Communication Questionnaire: 39. Does she/he ever play imaginative games with another child in such a way that you can tell that each child understands what the other is pretending?,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.obolibrary.org/obo/NCIT_C16423', 'http://purl.bioontology.org/ontology/SNOMEDCT/67822003', 'http://purl.bioontology.org/ontology/LNC/LA9949-4', 'http://purl.bioontology.org/ontology/LNC/LA78-1']"
432,"Social Communication Questionnaire: 40. Does she/he play cooperatively in games that need some form of joining in with a group of other children,
such as hide-and-seek or ball games?","['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/SNOMEDCT/385640009', 'http://purl.bioontology.org/ontology/LNC/MTHU050408', 'http://purl.bioontology.org/ontology/LNC/LP199484-9', 'http://purl.bioontology.org/ontology/LNC/80568-9', 'http://purl.bioontology.org/ontology/LNC/MTHU014517', 'http://purl.bioontology.org/ontology/LNC/LP29994-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/246176004', 'http://purl.bioontology.org/ontology/STY/T096', 'http://purl.bioontology.org/ontology/STY/T096', 'http://purl.bioontology.org/ontology/STY/T096', 'http://purl.bioontology.org/ontology/STY/T096', 'http://purl.bioontology.org/ontology/SNOMEDCT/246261001', 'http://purl.bioontology.org/ontology/SNOMEDCT/389109008', 'http://purl.bioontology.org/ontology/SNOMEDCT/421332005', 'http://purl.bioontology.org/ontology/LNC/LP417559-4', 'http://purl.obolibrary.org/obo/GSSO_001155']"
433,Social Communication Questionnaire: Total score,"['http://purl.obolibrary.org/obo/GSSO_000086', 'http://purl.bioontology.org/ontology/LNC/LP267494-5', 'http://purl.bioontology.org/ontology/LNC/LA28161-0', 'http://purl.bioontology.org/ontology/LNC/MTHU059090', 'http://purl.bioontology.org/ontology/SNOMEDCT/263536004', 'http://purl.obolibrary.org/obo/NCIT_C16452', 'http://purl.obolibrary.org/obo/NCIT_C17048', 'http://purl.bioontology.org/ontology/LNC/MTHU044436', 'http://purl.bioontology.org/ontology/LNC/MTHU054729', 'http://purl.bioontology.org/ontology/LNC/104037-7', 'http://purl.bioontology.org/ontology/LNC/LP101867-2', 'http://purl.bioontology.org/ontology/LNC/LP192138-8', 'http://purl.bioontology.org/ontology/LNC/LA6661-8', 'http://purl.bioontology.org/ontology/LNC/LP172682-9', 'http://purl.bioontology.org/ontology/SNOMEDCT/255619001', 'http://purl.bioontology.org/ontology/SNOMEDCT/246262008', 'http://purl.bioontology.org/ontology/LNC/MTHU024701', 'http://purl.bioontology.org/ontology/LNC/LP185820-0', 'http://purl.bioontology.org/ontology/LNC/LP73852-3', 'http://purl.bioontology.org/ontology/LNC/LP124270-2']"
