,column,ontologies
43,"Medical pathlogies, If yes: specify","['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
44,"Medical pathlogies, If yes: specify","['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
45,"Medical pathlogies, If yes: specify","['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
46,"Medical pathlogies, If yes: specify","['http://purl.obolibrary.org/obo/GSSO_004402', 'http://purl.bioontology.org/ontology/SNOMEDCT/74188005', 'http://purl.bioontology.org/ontology/LNC/LA33-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/373066001']"
47,Psychiatric pathologies,"['http://purl.bioontology.org/ontology/LNC/MTHU002618', 'http://purl.bioontology.org/ontology/LNC/LA25421-1', 'http://purl.bioontology.org/ontology/SNOMEDCT/27296002', 'http://purl.bioontology.org/ontology/LNC/LP7508-7']"
48,Language disorder comorbidity,"['http://purl.obolibrary.org/obo/HP_0002463', 'http://purl.bioontology.org/ontology/LNC/54505-3', 'http://purl.bioontology.org/ontology/LNC/MTHU021113', 'http://purl.bioontology.org/ontology/LNC/LP75013-0', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/MESH/D007802', 'http://purl.bioontology.org/ontology/LNC/LA17309-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/61909002', 'http://purl.obolibrary.org/obo/GSSO_000488', 'http://www.orpha.net/ORDO/Orphanet_557493', 'http://purl.bioontology.org/ontology/SNOMEDCT/64572001']"
49,Age of diagnosis,"['http://purl.bioontology.org/ontology/LNC/30525-0', 'http://purl.org/sig/ont/fma/fma0328408', 'http://purl.bioontology.org/ontology/SNOMEDCT/424144002', 'http://purl.bioontology.org/ontology/LNC/MTHU010047', 'http://purl.bioontology.org/ontology/LNC/LP28815-6', 'http://purl.bioontology.org/ontology/SNOMEDCT/397669002', 'http://semanticscience.org/resource/SIO_001331', 'http://purl.bioontology.org/ontology/LNC/MTHU008876', 'http://purl.bioontology.org/ontology/LNC/29308-4', 'http://purl.bioontology.org/ontology/SNOMEDCT/439401001', 'http://purl.bioontology.org/ontology/LNC/LP72437-4']"
50,Language disorder comorbidity: table,"['http://purl.obolibrary.org/obo/HP_0002463', 'http://purl.bioontology.org/ontology/LNC/54505-3', 'http://purl.bioontology.org/ontology/LNC/MTHU021113', 'http://purl.bioontology.org/ontology/LNC/LP75013-0', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/STY/T171', 'http://purl.bioontology.org/ontology/MESH/D007802', 'http://purl.bioontology.org/ontology/LNC/LA17309-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/61909002', 'http://purl.obolibrary.org/obo/GSSO_000488', 'http://www.orpha.net/ORDO/Orphanet_557493', 'http://purl.bioontology.org/ontology/SNOMEDCT/64572001', 'http://purl.bioontology.org/ontology/SNOMEDCT/86407004']"
51,Pharmacological treatment,"['http://purl.bioontology.org/ontology/SNOMEDCT/56183000', 'http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
52,Type of drug,"['http://purl.bioontology.org/ontology/SNOMEDCT/229753003', 'http://purl.bioontology.org/ontology/LNC/MTHU013727', 'http://www.orpha.net/ORDO/Orphanet_118666', 'http://purl.bioontology.org/ontology/SNOMEDCT/410657003', 'http://purl.bioontology.org/ontology/SNOMEDCT/410656007', 'http://purl.bioontology.org/ontology/LNC/LP73575-0', 'http://purl.bioontology.org/ontology/LNC/LP6886-8', 'http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
53,Drug posology,"['http://purl.bioontology.org/ontology/SNOMEDCT/410942007', 'http://semanticscience.org/resource/SIO_010038', 'http://purl.bioontology.org/ontology/LNC/LP172750-4', 'http://purl.bioontology.org/ontology/LNC/LA18200-8']"
54,Treatment effectivenes,"['http://purl.bioontology.org/ontology/LNC/LP94823-9', 'http://purl.bioontology.org/ontology/LNC/LP267354-1']"
55,Side effects,['http://purl.bioontology.org/ontology/LNC/LA28318-6']
